text,label
Someone frequently spoils movies or books for you.,anger
You hear mysterious scratching sounds from inside your walls.,fear
You find moldy bread being sold at a grocery store.,disgust
You receive a passive-aggressive message about a minor oversight.,anger
Your partner drives recklessly during an argument.,fear
"You find a childhood drawing book, its pages yellowing.",sadness
You make someone's day with a simple act of kindness.,happiness
You hear children laughing and playing outside.,happiness
You stumble upon a public WiFi network with a strange name.,surprise
You're told you need to undergo an emergency medical procedure.,fear
You come across a venomous creature while outdoors.,fear
"You finish a task ahead of time, leaving room for relaxation.",happiness
A teammate doesn't contribute equally to a collaborative task.,anger
You see a license plate that spells out a word or phrase.,surprise
You discover your neighbor's trash spilling onto your property.,disgust
A coworker constantly takes your office supplies without asking.,anger
You notice a rooftop garden on a building you pass every day.,surprise
You witness someone blowing their nose into a cloth napkin at a restaurant.,disgust
You find your front door ajar after coming back from a walk.,fear
The sound of a distant piano recalls a talent never pursued.,sadness
"Rain pours, canceling an event you were looking forward to.",sadness
You're given a task without the necessary resources to complete it.,anger
You learn that a project you worked on was claimed by another team member.,anger
You discover a folder of old photos on your computer.,surprise
You attend an event and unexpectedly meet someone you admire.,happiness
"You learn that an old tree in your area, around for generations, was cut.",sadness
You remember a forgotten promise someone made to you.,sadness
You discover rancid butter in your fridge.,disgust
You notice someone scratching their feet while eating.,disgust
You find a filthy sponge in a kitchen sink.,disgust
Your message is seen but not replied to.,sadness
You're in a new city and sense you're in an unsafe neighborhood.,fear
You can't find your passport while traveling internationally.,fear
You discover an unattended bag in a public place.,fear
Your car breaks down on a deserted road.,fear
"During a conference, your reserved seat is taken by someone else.",anger
You're in a remote area and hear distressing animal cries.,fear
"You've been on hold with customer service for over an hour, and they disconnect.",anger
Your privacy settings are altered without your knowledge.,anger
You notice someone has anonymously cleaned up a local park.,surprise
"You find out that a nearby factory had an explosion, releasing harmful chemicals.",fear
You get invited to an event you've been wanting to attend.,happiness
You think about times when things didn't go as planned.,sadness
You find a used tissue in the pocket of a borrowed jacket.,disgust
You feel genuinely appreciated and valued in a group.,happiness
You hear news of a missing person last seen in your area.,fear
You find a suspicious lump during a routine health check.,fear
A long-awaited sequel to your favorite book is announced.,happiness
You're alone in a building and hear footsteps on an upper floor.,fear
You see a pet owner allowing their dog to lick the plates in a dishwasher.,disgust
You witness someone swatting flies and then continuing to cook without washing hands.,disgust
"A coworker microwaves fish in the office, leaving a lingering smell.",anger
You're informed that someone has filed a lawsuit against you.,fear
You get a message from a childhood friend after years of no contact.,happiness
You're in a theater and someone shouts about a dangerous situation.,fear
A group fails to clean up after using a public area.,anger
Someone interrupts you every time you try to speak in a group setting.,anger
Your message to a close friend remains unread for weeks.,sadness
You run into a dear friend in an unexpected place.,happiness
You discover a hidden compartment in your car.,surprise
You hear a slang term you've never heard before.,surprise
You notice a wilted bouquet of flowers left on a park bench.,sadness
Your saved game data is deleted accidentally by a friend.,anger
"You see a playground, once lively, now abandoned.",sadness
Your computer crashes and you haven't backed up important work.,fear
A game of charades leaves everyone in splits of laughter.,happiness
"You help someone, and they pay it forward in the community.",happiness
You discover your watch has a feature you never knew about.,surprise
An old video game recalls late nights with friends who've moved away.,sadness
You find out a movie you thought was fictional is based on a true story.,surprise
The neighbor plays loud music late into the night.,anger
You see a car that looks exactly like yours in the parking lot.,surprise
You see a trail of ants leading to a pile of rotten food.,disgust
The home where your grandparents lived is now another business.,sadness
Someone holds the elevator for you when you're running late.,happiness
You see a family allowing their children to run wild and make a mess in a store.,disgust
You find an old journal detailing happy moments.,happiness
You hear an announcement for a flight to a destination you've never heard of.,surprise
You're not given the resources you were promised for a task.,anger
"While parking, someone takes the spot you'd been waiting for.",anger
A friend's message mentions they're going through a tough breakup.,sadness
You see someone being attacked in a secluded area.,fear
A car speeds toward you while you're crossing the street.,fear
You're constantly being compared unfavorably to someone else.,anger
You smell spoiled fish at a market.,disgust
Someone intentionally omits you from an email chain.,anger
You stumble upon a free workshop you've been interested in.,happiness
"You're in a car, and the driver starts swerving and driving erratically.",fear
Your attempt to revive a dying tradition doesn't receive support.,sadness
Someone carelessly spills a drink on your paperwork.,anger
You see someone coughing and touching communal items without sanitizing their hands.,disgust
"A long line you're in suddenly opens up, and you're served quickly.",happiness
You discover that a friend has changed their name.,surprise
You're babysitting and can't find the child you're supposed to be watching.,fear
You find out someone has been using your subscription services without asking.,anger
You find an old puzzle with a missing piece.,sadness
You notice someone clipping their toenails on a park bench.,disgust
You see a pet owner not picking up after their dog in a public park.,disgust
You discover old food containers under a teenager's bed.,disgust
A handwritten postcard arrives from a distant country.,happiness
The waiter brings out the wrong meal order after a long wait.,anger
You find a discarded needle in a playground.,disgust
Your favorite author announces a surprise book signing in your city.,happiness
You're told you've been exposed to a highly contagious disease.,fear
A friend recalls a hilarious memory you shared together.,happiness
You witness a child licking food items and putting them back on a store shelf.,disgust
You're in an elevator and it suddenly jolts and stops.,fear
"You revisit a vacation spot, only to find it commercialized.",sadness
You stumble upon an active online forum about a canceled TV show.,surprise
"Your advice is blatantly ignored, leading to a predictable problem.",anger
Your shared resources are depleted without your knowledge.,anger
You stumble upon a forgotten garden or cemetery.,surprise
You're at an event when someone has a severe allergic reaction.,fear
An old machine or gadget you thought was broken starts working again.,happiness
"You're in a car, and a nearby vehicle starts to drift into your lane.",fear
You realize a small store you never paid attention to has closed down.,surprise
You learn that an item you bought is now a collector's piece.,happiness
"You see a lone shoe on the road, reminiscent of an accident.",sadness
You find a stray dog waiting at the same spot for days.,sadness
A movie showcases the challenges faced by a child in foster care.,sadness
An old neighbor remembers your name after many years.,happiness
You see a person drop food on the floor and continue to eat it.,disgust
An item you thought was lost forever is found by a kind stranger.,happiness
You nail a presentation or performance you were nervous about.,happiness
"You witness someone throwing food to seagulls, causing a frenzy.",disgust
A heartfelt letter you sent never received a response.,sadness
You discover someone took the last slice of your favorite cake without asking.,anger
An item you ordered online arrives in a damaged condition.,anger
A familiar tune recalls moments of saying goodbye.,sadness
You come across a hidden note with an uplifting message in a bookstore.,happiness
You find an unsent letter in an old book.,sadness
Someone makes fun of something you're passionate about.,anger
"A vintage car, just like your first one, stands rusting on a lot.",sadness
You notice a strong smell of urine in an elevator.,disgust
An old friend's number is no longer in service.,sadness
You receive an evacuation notice due to a chemical spill.,fear
"You discover a pile of burned, unidentifiable trash.",disgust
A song comes up on your playlist that you don't remember adding.,surprise
You see a child dropping their ice cream and looking around in dismay.,sadness
You're not invited to a gathering of peers.,anger
You hear a ringtone you haven't heard in years.,surprise
Your ideas are stolen and presented without giving you credit.,anger
A place that was once lively is now silent.,sadness
You see someone popping a pimple in a car mirror in a parking lot.,disgust
A missed call from someone you've been avoiding talking to.,sadness
Your order from an online store arrives late and is damaged.,anger
"You hear loud, unexplained noises coming from your basement or attic.",fear
You see a dog relieve itself in a children's playground.,disgust
You're cycling and your brakes malfunction.,fear
You get the chance to adopt a pet you've been wanting.,happiness
You find a spoiled meat product still being sold at a grocery store.,disgust
You discover a drawer in your desk you never noticed before.,surprise
You overhear someone making a derogatory comment about your hometown.,anger
You see a restaurant worker smoking right next to the 'no smoking' sign.,disgust
A festival song recalls memories of someone not present.,sadness
You lose sight of your child at the beach.,fear
You witness a shopper opening and sampling food in a grocery store before buying.,disgust
You notice that your school's website has updated its UI.,surprise
A favorite artwork is no longer on display at the museum.,sadness
You discover that you've inspired someone to take a positive action.,happiness
You find a cafe that makes your favorite childhood dessert.,happiness
"The necklace, a family heirloom, goes missing.",sadness
You hear an explosion in the distance.,fear
"You pass by the house where you grew up, and it's changed dramatically.",sadness
You find a fly in your drink.,disgust
You hear about the struggles of farmers during a drought.,sadness
A poem speaks of fleeting time and missed opportunities.,sadness
You come across a curio that's lost its sheen.,sadness
The vacation ends and it's time to go back to regular life.,sadness
You receive a surprise package in the mail with no return address.,happiness
"You're in a building when the fire alarm goes off, and you smell smoke.",fear
You receive a text saying your bank account has been compromised.,fear
You receive news that a friend has gone missing.,fear
A carnival doesn't have the ride you once loved.,sadness
You receive a bouquet from an anonymous admirer.,happiness
Someone comments negatively on something you hold dear.,anger
You discover that your phone camera has a setting you've never seen before.,surprise
You discover an unfamiliar icon on your computer’s taskbar.,surprise
You notice a server adjusting their clothing or scratching themselves before handling food.,disgust
You realize your parachute isn't opening while skydiving.,fear
You hear someone chewing loudly with their mouth open.,disgust
You notice an empty chair at a family gathering.,sadness
"A close friend cancels plans at the very last moment, repeatedly.",anger
You find someone's dirty laundry left in a public washing machine.,disgust
"The bakery adds an extra cookie to your order, just because.",happiness
Your new item breaks just after the return period ends.,anger
You notice a sign has been changed or replaced on your daily route.,surprise
You receive an email threatening to expose personal information unless you pay.,fear
You find out a restaurant reuses its disposable utensils.,disgust
A long queue you're standing in suddenly moves faster.,happiness
You witness a random act of kindness in public.,happiness
A favorite character in a show doesn't get a happy ending.,sadness
A swarm of bees starts flying toward you.,fear
You experience a culture's festival or celebration for the first time.,happiness
A colorful balloon floats past your window on a windy day.,happiness
You're frequently overlooked for opportunities without explanation.,anger
The ice cream shop with your favorite flavor shuts down.,sadness
"Someone doesn't respect your time, constantly rescheduling appointments.",anger
You realize a contact has changed their phone number without informing you.,surprise
"You receive a call from an unknown number, and it turns out to be a wrong number looking for someone with your name.",surprise
You find an empty bottle of a fragrance someone used to wear.,sadness
You find animal hair in a dish at a restaurant.,disgust
You can't find a childhood book that meant a lot to you.,sadness
You notice that a clock you often look at has stopped.,surprise
A stranger plays a song on the piano that brings back warm memories.,happiness
You notice a piece of art in a friend's home that you never realized was there.,surprise
Someone frequently changes plans without notifying you.,anger
A stray animal looks longingly through a cafe window.,sadness
You discover a tunnel in a hillside during a hike.,surprise
You're on public transit when it suddenly goes dark and stops.,fear
"You take a chance, and it leads to unexpected opportunities.",happiness
You find a ticket stub from an event you don't remember attending.,surprise
You hear someone loudly slurping their soup at a formal event.,disgust
You find a vintage item that recalls simpler times.,happiness
You hear about a terror attack near your current location.,fear
"You pass by your old school, and it's in disrepair.",sadness
You learn a new skill or hobby that you're surprisingly good at.,happiness
You find out someone you met recently has a criminal record.,fear
You see someone pick their nose and eat it.,disgust
You witness a violent act against someone in public.,fear
You receive a handwritten letter in the mail from a friend.,happiness
You find a strange device under your car.,fear
A family recipe turns out just like how you remembered it.,happiness
You see someone taking their shoes and socks off during a flight.,disgust
You witness a large object falling from the sky.,fear
You see someone changing a baby's diaper on a restaurant table.,disgust
Your freshly washed car gets splattered with mud by a passing vehicle.,anger
A coworker loudly chews gum during a quiet meeting.,anger
You notice someone scratching their armpit and sniffing their fingers.,disgust
You're on public transit and someone starts acting erratically.,fear
You hear your favorite tune playing from a distant radio.,happiness
A movie portrays the struggle of love at a wrong time.,sadness
You find out someone is talking behind your back.,anger
You notice a building has an extra floor you never realized.,surprise
You find out a close friend or family member is very sick.,fear
You notice a piece of graffiti that wasn't there the day before.,surprise
A visitor leaves trash around your home.,anger
You find animal feces on a walking trail.,disgust
You find grime and soap scum in a supposedly clean hotel shower.,disgust
You find a patch of different-colored grass in a field.,surprise
Someone donates to a cause that's close to your heart.,happiness
You lose a piece of jewelry that had sentimental value.,sadness
You receive an unexpected token of appreciation.,happiness
Your feedback is constantly ignored or dismissed.,anger
You witness someone using excessive perfume or cologne in a confined space.,disgust
You accidentally send a sensitive text to the wrong person.,fear
You find an old phone with messages you don't remember.,surprise
You find a newspaper clipping about someone with your exact name.,surprise
Someone constantly uses your work desk and leaves it messy.,anger
You receive an unfair grade on a project you worked hard on.,anger
You notice someone leaving a dirty diaper in a parking lot.,disgust
Your trust is betrayed by someone you confided in.,anger
You can't find the location of a cherished childhood hideout.,sadness
A musician sings about the pain of unrequited love.,sadness
"An old watch, a family heirloom, stops ticking.",sadness
You witness someone using their phone in a restroom stall and then proceeding to eat without washing hands.,disgust
You see a familiar face in the crowd but can't place where you know them from.,surprise
A cherished childhood spot is replaced by modern buildings.,sadness
Someone habitually leaves common areas messy after using them.,anger
A project you've poured your heart into receives unfavorable feedback.,sadness
You witness a worker sweeping dirt under the rug instead of cleaning it up.,disgust
"You're at a social gathering, and someone pulls out a weapon.",fear
You hear sirens and realize they're coming toward your location.,fear
An annual event isn't the same due to the absence of a loved one.,sadness
Your phone suggests a contact you don't recognize.,surprise
You find a dirty band-aid in a public pool.,disgust
Your space in a shared living area is used without your permission.,anger
Someone parks their car blocking your driveway.,anger
You see a large group of people running toward you in panic.,fear
A board game reminds you of nights with old friends.,sadness
A movie portrays the struggle of saying goodbye.,sadness
The plumber you hired doesn't show up and doesn't inform you in advance.,anger
You encounter a bear while camping in the woods.,fear
Your GPS takes you through a route you never knew existed.,surprise
"Your vehicle is almost out of fuel, and the next station is far away.",fear
You bake something that turns out to be a hit at a gathering.,happiness
Your food  order arrives late and cold.,anger
You smell rotten eggs emanating from a nearby drain.,disgust
You discover that a nearby park offers free concerts.,happiness
You witness someone blowing their nose and checking the tissue in public.,disgust
You witness a person putting their bare feet up on a table in a public area.,disgust
You find out a movie you like was based on a true story you've never heard.,surprise
You accidentally break a cherished gift from a friend.,sadness
You have an entire day with no obligations or responsibilities.,happiness
You're constantly being sidelined in team activities.,anger
You find a dirty diaper abandoned on a beach.,disgust
You get an unexpected day off from work or school.,happiness
You see someone wiping their mouth with their sleeve at a formal event.,disgust
A long-awaited rain brings a cool breeze during a hot day.,happiness
You witness people digging through a buffet with their hands.,disgust
You find a stone with an unusual natural pattern during a walk.,surprise
You find a coupon for a store you don't remember visiting.,surprise
You notice that the days are getting longer after a dark winter.,happiness
You hear a song about places and faces that have changed.,sadness
You successfully make a dish from a recipe you thought was too challenging.,happiness
You discover someone has the same tattoo as you.,surprise
You get a positive and unexpected message on social media.,happiness
You're on an escalator and it suddenly starts moving too fast.,fear
You're left out of a decision-making process.,anger
You notice a bridge or overpass you've never seen before.,surprise
A person consistently forgets important details about your life.,anger
You hear whispers and find no one when you go to investigate.,fear
An old swing set creaks with the weight of memories.,sadness
You discover smudges and fingerprints on a glass tabletop.,disgust
"You're not informed about a change in plans, leading to inconvenience.",anger
You overhear a child asking why their friend doesn't play with them anymore.,sadness
"A child gives you a drawing they made, and you're the centerpiece.",happiness
You witness a hit-and-run accident and the driver notices you.,fear
The park bench where you used to sit is now broken.,sadness
You witness someone sneeze without covering their mouth.,disgust
You see someone fall into a fast-flowing river.,fear
You're near a dam or levee when you hear it might burst.,fear
You find an old photograph of close friends you've lost touch with.,sadness
Your pet runs off and is nowhere to be found.,fear
"A letter arrives, detailing the hardships faced by a friend overseas.",sadness
You're notified of unauthorized transactions on your credit card.,fear
You hear someone mention the name of a planet you've never heard of.,surprise
"After a long day, you find your reserved ride-sharing trip was canceled without notice.",anger
You discover your computer keyboard has special characters you never noticed.,surprise
You get the best seat in the house at a show or event.,happiness
"You find a discarded letter on the street, filled with regrets.",sadness
You're outside and hear the sound of rapidly approaching fire.,fear
You see someone using their sleeve to wipe their runny nose.,disgust
You find a food item in your pantry that you don't remember buying.,surprise
You see someone leaving a public restroom without washing their hands.,disgust
You find spoiled milk in your coffee after taking a sip.,disgust
"You're on a roller coaster, and it malfunctions.",fear
You visit a place that's even better than the photos.,happiness
You realize you've left a potentially dangerous item within a child's reach.,fear
You find money you didn't know you had in an old purse or wallet.,happiness
You realize you've left an appliance on at home.,fear
You notice a colleague wearing a band shirt you never thought they'd like.,surprise
An elderly person reminisces about the joys of their younger days.,sadness
You lend someone your tool and it's returned in worse condition.,anger
Your phone dies while you're in an unfamiliar and remote area.,fear
You discover your sibling has been snooping around your personal belongings.,anger
You receive news of sudden layoffs at your workplace.,fear
You notice someone reusing dirty dishes without washing them.,disgust
A meal tastes exactly like how a loved one used to make it.,happiness
A surprise visit from someone you missed lifts your spirits.,happiness
You find stained and unwashed linens in a rented accommodation.,disgust
A swarm of locusts descends on your garden.,fear
"A large, unleashed dog starts running toward you.",fear
"Someone consistently spells your name wrong, despite corrections.",anger
A friend repeatedly borrows money but never pays back.,anger
A person habitually uses your belongings without permission.,anger
You notice someone re-wearing sweaty gym clothes.,disgust
The vending machine malfunctions and doesn't give you your snack.,anger
You realize that a childhood haunt is no longer recognizable.,sadness
"Your favorite movie is playing on TV, and it's just starting.",happiness
You find unflushed waste in a public toilet.,disgust
You're spoken over during an important meeting.,anger
You stumble upon a shortcut on your regular walking route.,surprise
You stumble upon a channel on TV that you never knew existed.,surprise
Your contribution is edited out without prior consultation.,anger
You're not invited to a gathering that all your friends are attending.,anger
You get lost in a foreign country where you don't speak the language.,fear
You find an old newspaper with a headline about an event you don't remember.,surprise
You find yourself in a confined space and can't get out immediately.,fear
"A family photo album has many pictures, but few recent ones.",sadness
You hear the soft strumming of a guitar while walking in the evening.,happiness
You find an old container of takeout food that has grown mold.,disgust
Your valuable item goes missing at a friend's gathering.,anger
A landmark you remember fondly is overshadowed by new constructions.,sadness
Your favorite artist releases a new track.,happiness
You find a dried flower from a memorable date.,sadness
You're swimming in the ocean and feel something brush against your leg.,fear
You find chewed gum under a public table.,disgust
A quote you read speaks about the transient nature of life.,sadness
You hear your name being called in a crowded place but don't see anyone you know.,surprise
You read of a historical place being demolished for a mall.,sadness
You discover an empty folder on your computer.,surprise
You hear a co-worker's voice on a podcast you randomly chose.,surprise
You're assigned extra work on a weekend due to someone else's mistakes.,anger
You see someone using a type of fitness equipment you've never seen before at the gym.,surprise
You discover your computer has a 'Night Mode' setting.,surprise
You find an extra set of keys in your drawer and can't remember what they open.,surprise
A dream brings up old feelings you thought were settled.,sadness
Your special dietary needs are ignored at a group dinner.,anger
You get the chance to tick something off your bucket list.,happiness
You discover your friend's pet knows an unexpected trick.,surprise
Someone brings up an embarrassing past event in front of new acquaintances.,anger
You find a cockroach in a pot in your kitchen cupboard.,disgust
You find someone's discarded cigarette butts in your garden.,disgust
A movie ends with the main character saying goodbye.,sadness
You have a medical emergency while alone at home.,fear
You get a call claiming a family member has been kidnapped.,fear
You notice a tree has been cut down on your street.,surprise
A piece of trivia you know wins a game for your team.,happiness
The special event you've been waiting for gets abruptly canceled.,sadness
You stumble upon a street performer using an unfamiliar instrument.,surprise
An old message reflects hopes that didn't come to fruition.,sadness
You hear about the demise of a childhood icon.,sadness
You witness a parent allowing their child to run around a restaurant without shoes.,disgust
You attend a gathering and feel a deep sense of belonging.,happiness
You overhear a child asking about something you too once questioned.,sadness
You wake up to the sound of breaking glass.,fear
You discover your food delivery has been tampered with.,disgust
A pond you used to visit is drying up.,sadness
Someone doesn't respect your personal boundaries.,anger
A person talks loudly on their phone in a quiet environment.,anger
An old diary entry recalls goals you had set but never achieved.,sadness
You remember the anniversary of a challenging event.,sadness
You hear your name whispered when you're alone.,fear
A friend reveals a personal secret you confided in them.,anger
You find an old list of goals you don't remember writing.,surprise
A family recipe doesn't taste the same without its original cook.,sadness
You see a pet owner not picking up after their dog in a public park.,disgust
A sculpture reminds you of someone's unfulfilled dream.,sadness
"During a cloudy day, a rainbow suddenly appears.",happiness
You find mold growing on your food in the fridge.,disgust
You hear of a distant relative facing health challenges.,sadness
You find out a coworker has a twin you never knew about.,surprise
You receive a promotional email from a company you never interacted with.,surprise
Someone surprises you by remembering a small detail about your life.,happiness
You hear an airplane overhead but can't see it.,surprise
You find a cozy nook in a crowded place.,happiness
You witness someone urinating in public.,disgust
You discover a strangely shaped vegetable or fruit at the grocery store.,surprise
You dance like no one's watching and feel liberated.,happiness
You hear someone passing gas loudly in a public setting.,disgust
You notice a billboard has changed its advertisement overnight.,surprise
Your reservation at a place is not honored.,anger
A squirrel performs acrobatics in the trees outside your window.,happiness
You find a rotten piece of fruit hidden at the back of a shelf.,disgust
You see a child's eyes light up with understanding.,happiness
You find a tree with carvings that look ancient.,surprise
A stranger returns your dropped wallet with everything intact.,happiness
You find someone's used chewing gum stuck to your shoe.,disgust
You're told last minute that you need to work over the weekend.,anger
Your pet exhibits a behavior you've never seen before.,surprise
You witness someone tossing trash out of a car window.,disgust
You discover an accessory in your wardrobe that you can't remember buying.,surprise
You walk into a spider web in a dark area and can't see what kind of spider it is.,fear
You're at the zoo and hear that an animal has escaped its enclosure.,fear
The wildflowers bloom in abundance after a long drought.,happiness
You hear someone clearing their throat phlegm loudly in a library.,disgust
Someone continually leaves their belongings on your workspace.,anger
A memento from a trip breaks unexpectedly.,sadness
You read a news article about a dangerous criminal active in your area.,fear
Your favorite author replies to your letter or message.,happiness
A once favorite internet forum is now inactive.,sadness
You hear an automated announcement in a language you didn't expect.,surprise
Your mail is opened by someone else without your consent.,anger
You find a coin from a country you've never visited.,surprise
You discover a celebrity follows you on social media.,surprise
You're ignored during a group discussion.,anger
You find a worm in your apple.,disgust
You find a note in an old coat pocket with a message you can't remember writing.,surprise
You discover an odd stain on a shirt you haven't worn in a while.,surprise
A childhood friend's home stands empty and for sale.,sadness
A cherished event is cancelled without explanation.,sadness
A melody you hear speaks of lost love.,sadness
You discover a button under your desk or table.,surprise
You're in a building when the security system unexpectedly locks down.,fear
You notice a family member has changed their hairstyle without saying anything.,surprise
You hear an unfamiliar bird call in the morning.,surprise
You see elders sharing stories with the younger generation.,happiness
You're alone in an unfamiliar place and your phone battery dies.,fear
You're accused of not doing a chore that wasn't your responsibility.,anger
Your freshly washed floor has muddy footprints from someone's shoes.,anger
A once vibrant tree in your neighborhood is now being cut down.,sadness
You find an old map with unfamiliar place names.,surprise
You come home to find your pet seriously ill.,fear
You're caught outside during a lightning storm.,fear
You see an animal you can't identify.,surprise
You discover rancid meat in a friend's fridge.,disgust
You find old chewing gum stuck to the underside of a desk.,disgust
You discover a leaky bag of garbage in the trunk of your car.,disgust
You witness someone picking up food from a trash can and eating it.,disgust
You come across a fading photograph from years ago.,sadness
You find a creepy doll or object in your home that you didn't place there.,fear
You find out a colleague has been spreading untrue rumors about you at work.,anger
You find a remote control but can't figure out what device it belongs to.,surprise
"You're gifted a plant, and it starts thriving under your care.",happiness
You see a couple that reminds you of a past relationship.,sadness
You see someone licking their fingers while reading a library book.,disgust
You hear about an old teacher who's now retired and lives alone.,sadness
"You discover a neglected, algae-filled swimming pool.",disgust
You find evidence of a break-in at your home.,fear
You notice a server using the same rag for wiping tables and cleaning dishes.,disgust
You see a squirrel doing something peculiar and unexpected.,surprise
You stumble upon an old letter from someone who's no longer in your life.,sadness
