,emotion,text,hidden_emo_text,label
4894,sadness,A person I thought was a friend betrayed me very badly and I abruptly had to stop all contact with them.,A person I thought was a friend betrayed me very badly and I abruptly had to stop all contact with them.,4
1866,fear,I felt fear when I got caught in the woods at night while I was hiking.,I felt ... when I got caught in the woods at night while I was hiking.,2
5884,surprise,"My partner announced she was pregnant, after many years of miscarriages this surprised me because we both thought it would never happen for us.","My partner announced she was pregnant, after many years of miscarriages this ... me because we both thought it would never happen for us.",5
5210,sadness,i felt sadness when i moved away from home,i felt ... when i moved away from home,4
2703,joy,"I felt joy when I went to my friend's birthday dinner. I felt joy because I was happy to see the guests, experience a new restaurant, and I was anticipating her happiness at opening my gift.","I felt ... when I went to my friend's birthday dinner. I felt ... because I was ... to see the guests, experience a new restaurant, and I was anticipating her happiness at opening my gift.",3
319,anger,"My mother decided to arrange a wedding for my daughter without telling me , she told all other close family members","My mother decided to arrange a wedding for my daughter without telling me , she told all other close family members",0
1715,fear,I was attacked by a dog when making a delivery to someone's house. I was afraid of being bitten again and had to lock myself in the porch until the owner could get the dog under control.,I was attacked by a dog when making a delivery to someone's house. I was ... of being bitten again and had to lock myself in the porch until the owner could get the dog under control.,2
2586,joy,I felt JOY when I held my baby cousin for the first time.,I felt ... when I held my baby cousin for the first time.,3
2723,joy,"I realized my dog was going  to be okay . She had started bleeding from the mouth and got sluggish and weak from the antibiotics, and lost her appetite. I was 80% sure we would have to put her down. When she started getting better I was overjoyed","I realized my dog was going  to be okay . She had started bleeding from the mouth and got sluggish and weak from the antibiotics, and lost her appetite. I was 80% sure we would have to put her down. When she started getting better I was ...",3
2761,joy,"I felt joy when I was at the amusement park with my friends as I was having a good time enjoying rides, food and company.","I felt ... when I was at the amusement park with my friends as I was having a good time enjoying rides, food and company.",3
5199,sadness,"I wanted to go out camping and having a mini break. But I did not end up going or doing it, even alone because my boyfriend didnt want to go. So I ended up staying home watching sports with him instead. I felt I had let myself down for not doing something I wanted.","I wanted to go out camping and having a mini break. But I did not end up going or doing it, even alone because my boyfriend didnt want to go. So I ended up staying home watching sports with him instead. I felt I had let myself down for not doing something I wanted.",4
1134,disgust,There was a fatal accident at work. A member of the public who was inconvenienced complained and said we should just scoop them up and throw them to one side.,There was a fatal accident at work. A member of the public who was inconvenienced complained and said we should just scoop them up and throw them to one side.,1
5815,surprise,Someone left my team,Someone left my team,5
298,anger,when my husband cheated on me,when my husband cheated on me,0
2189,fear,I was bullied as a child and through my teen years.,I was bullied as a child and through my teen years.,2
1165,disgust,I emptied the compost bin and it smelt really bad,I emptied the compost bin and it smelt really bad,1
5193,sadness,"I felt sadness when the day came for me to sign over possession of my house to a housing agency. Whilst this meant I could stay in the house, it was no longer mine. This was after 8 years of back and forth with court","I felt ... when the day came for me to sign over possession of my house to a housing agency. Whilst this meant I could stay in the house, it was no longer mine. This was after 8 years of back and forth with court",4
1832,fear,"i was followed my whole journey home from work (on foot). i had changed route several times and was still being followed, i tried to walk in busy roads so people would notice but was still being followed (in a bad area of town).","i was followed my whole journey home from work (on foot). i had changed route several times and was still being followed, i tried to walk in busy roads so people would notice but was still being followed (in a bad area of town).",2
2620,joy,I felt joy when I passed my driving theory test with better marks than I originally thought,I felt ... when I passed my driving theory test with better marks than I originally thought,3
113,anger,my workplace does not appreciate my hard work and efforts.,my workplace does not appreciate my hard work and efforts.,0
5615,surprise,I was gifted a puppy as it was something I had wished for for a long time but didnt think was on the cards,I was gifted a puppy as it was something I had wished for for a long time but didnt think was on the cards,5
5050,sadness,My daughter was struggling with another child in her class being unkind to her. She was breaking her heart after school every day which make me feel completeness sadness and helplessness.,My daughter was struggling with another child in her class being unkind to her. She was breaking her heart after school every day which make me feel completeness ... and helplessness.,4
172,anger,I felt anger because my boyfriend cheated on me,I felt ... because my boyfriend cheated on me,0
2838,joy,I bought my own horse with my own money I had worked hard to afford,I bought my own horse with my own money I had worked hard to afford,3
2733,joy,I was racing on a racing track with my dad in the car and we did an extra lap when we werent supposed to which was really fun and will never be able to do in my lifetime,I was racing on a racing track with my dad in the car and we did an extra lap when we werent supposed to which was really fun and will never be able to do in my lifetime,3
515,anger,I kicked a door by accident,I kicked a door by accident,0
5167,sadness,My grandpa says he wishes he could walk like he used too,My grandpa says he wishes he could walk like he used too,4
1535,disgust,I was on the bus and a man was very unwashed and smelt bad,I was on the bus and a man was very unwashed and smelt bad,1
4982,sadness,my long time girlfriend broke up with me.,my long time girlfriend broke up with me.,4
4980,sadness,"When my mum died of cancer four years ago, I am a parent of two young children and she was my best friend and my mum, I relied on her and confided in her, I have not got many friends or family, she gave me strength and when she passed I felt half of me past with her.","When my mum died of cancer four years ago, I am a parent of two young children and she was my best friend and my mum, I relied on her and confided in her, I have not got many friends or family, she gave me strength and when she passed I felt half of me past with her.",4
1843,fear,"I felt fear when I tried teaching my kid how to ride a bike for the first time, as she almost got hit my a moving vehicle.","I felt ... when I tried teaching my kid how to ride a bike for the first time, as she almost got hit my a moving vehicle.",2
2683,joy,I had a dream where Ed Sheeran broke both his legs. It felt so real.,I had a dream where Ed Sheeran broke both his legs. It felt so real.,3
4833,sadness,my grandmother died in the hospital.,my grandmother died in the hospital.,4
282,anger,a customer at work was being very impolite to me.,a customer at work was being very impolite to me.,0
546,anger,I felt anger when a random girl hit me in a club,I felt ... when a random girl hit me in a club,0
5699,surprise,I lost three dress sizes without dieting over a few months,I lost three dress sizes without dieting over a few months,5
2660,joy,When my niece was born because she was the first baby born that was close to me,When my niece was born because she was the first baby born that was close to me,3
134,anger,My ex partner lied to me for 4 years and when I found out he showed no remorse and treated me like I was the one in the wrong,My ex partner lied to me for 4 years and when I found out he showed no remorse and treated me like I was the one in the wrong,0
2833,joy,Received my results for my university degree and found I had been awarded a first,Received my results for my university degree and found I had been awarded a first,3
2819,joy,I felt joy when I finished a big painting job in my house.,I felt ... when I finished a big painting job in my house.,3
1687,fear,I felt fear the first time someone tried to teach me how to drive.,I felt ... the first time someone tried to teach me how to drive.,2
5943,surprise,ronaldo transferred to MUFC,ronaldo transferred to MUFC,5
2497,joy,I was accepted into my first university choice,I was accepted into my first university choice,3
4693,sadness,an I learned an acquaintance was suffering from alcoholism,an I learned an acquaintance was suffering from alcoholism,4
2921,joy,I adopted my kitten. I've always wanted a cat growing up and after moving in with my long-term boyfriend we decided to adopt one. After looking for several months we drove an hour to pick him up. Meeting him for the first time and having him purring in my arms was such a joyful experience for me that I won't forget.,I adopted my kitten. I've always wanted a cat growing up and after moving in with my long-term boyfriend we decided to adopt one. After looking for several months we drove an hour to pick him up. Meeting him for the first time and having him purring in my arms was such a ... experience for me that I won't forget.,3
5689,surprise,I was a child and my parents surprised my sister and I with a golden retriever puppy,I was a child and my parents ... my sister and I with a golden retriever puppy,5
5045,sadness,My father died when I was barely 10 I felt the world collapsed and I had my mind running over and over again,My father died when I was barely 10 I felt the world collapsed and I had my mind running over and over again,4
2091,fear,When walking alone in an unsafe neighbourhood,When walking alone in an unsafe neighbourhood,2
2639,joy,A recently diagnosed health condition I have was not as bad as we first thought,A recently diagnosed health condition I have was not as bad as we first thought,3
4861,sadness,I felt sadness when I had to move to another state as my partner.,I felt ... when I had to move to another state as my partner.,4
1183,disgust,"a person in a position of power at work called a coworker ""sexy"" in an email and then was surprised when they took offence.","a person in a position of power at work called a coworker ""sexy"" in an email and then was surprised when they took offence.",1
2186,fear,I had to deliver a presentation to my peers,I had to deliver a presentation to my peers,2
1768,fear,I felt fear when I was almost late to class,I felt ... when I was almost late to class,2
2995,joy,I was on the football team at my high school,I was on the football team at my high school,3
1424,disgust,my toddler unexpectedly vomited all over me,my toddler unexpectedly vomited all over me,1
232,anger,My opinion and concerns weren't being listened to.,My opinion and concerns weren't being listened to.,0
2807,joy,I felt joy when I saw my two children this morning holding hands,I felt ... when I saw my two children this morning holding hands,3
5914,surprise,my uncle had an argument with my cousin,my uncle had an argument with my cousin,5
1586,disgust,"A senior member of management was so drunkAnd disorderly he was dedicating in a hotel hallway, and was simply just so rude to colleagues","A senior member of management was so drunkAnd disorderly he was dedicating in a hotel hallway, and was simply just so rude to colleagues",1
1465,disgust,I saw someone let their dog poo on the road and they didn't pick it up,I saw someone let their dog poo on the road and they didn't pick it up,1
6011,surprise,I felt surprised when I found out a close friend had introduced her children to a guy she has been dating for a few weeks.,I felt ... when I found out a close friend had introduced her children to a guy she has been dating for a few weeks.,5
145,anger,My ex boyfriend started dating a new girl only a few months after he broke up with me.,My ex boyfriend started dating a new girl only a few months after he broke up with me.,0
5512,surprise,my new car arrived on the drive,my new car arrived on the drive,5
540,anger,I felt anger when I finally quit my job.,I felt ... when I finally quit my job.,0
5780,surprise,I found out I was pregnant,I found out I was pregnant,5
4975,sadness,I found out my friend had committed suicide,I found out my friend had committed suicide,4
220,anger,I missed the bus by a minute or so. I was angry at myself for not walking to the stop faster/waking up early etc.,I missed the bus by a minute or so. I was ... at myself for not walking to the stop faster/waking up early etc.,0
2117,fear,My mother was dying of cancer,My mother was dying of cancer,2
2023,fear,I took my driving test after previously failing.,I took my driving test after previously failing.,2
2661,joy,I felt joy when I went for a walk in the park with my family and we sat down enjoying the view while having a picnic.,I felt ... when I went for a walk in the park with my family and we sat down enjoying the view while having a picnic.,3
1800,fear,"Since an accident that happened many years ago I've been very fearful of driving on highways. Although I can still do it, I get a sudden sense of dread and fear (panic attacks). At times I can reduce the fear and keep going but other times require intervention (I. E., taking a break, breathing exercises). I'm often embarrassed by this fear too and don't often drive others besides my immediate family.","Since an accident that happened many years ago I've been very ... of driving on highways. Although I can still do it, I get a sudden sense of ... and ... (panic attacks). At times I can reduce the ... and keep going but other times require intervention (I. E., taking a break, breathing exercises). I'm often embarrassed by this ... too and don't often drive others besides my immediate family.",2
1401,disgust,I felt disgust when someone I knew was driving around in her parent's car. The car had a disabled badge but neither parent were able to use the car or badge any longer. This person took great delight in parking in disabled spaces evertime she drove the car and could not see why it was a problem. She was not disabled,I felt ... when someone I knew was driving around in her parent's car. The car had a disabled badge but neither parent were able to use the car or badge any longer. This person took great delight in parking in disabled spaces evertime she drove the car and could not see why it was a problem. She was not disabled,1
2826,joy,"my dog started playing with her toy, and throwing them about and really getting into playing with her toys. It was funny to watch and made me laugh and smile about how silly she was being.","my dog started playing with her toy, and throwing them about and really getting into playing with her toys. It was funny to watch and made me laugh and smile about how silly she was being.",3
281,anger,"car insurance claim, advised to accept 50/50.  But I was not at fault.","car insurance claim, advised to accept 50/50.  But I was not at fault.",0
1119,disgust,Earlier this year I found a dead headless bird in my garden,Earlier this year I found a dead headless bird in my garden,1
5526,surprise,I felt surprised when I came home and my friend had flowers delivered for me.,I felt ... when I came home and my friend had flowers delivered for me.,5
5876,surprise,When I won on a scratch card,When I won on a scratch card,5
2606,joy,"I felt joy when I graduated from university after 4 years. Although it was online and I was not able to attend a convocation ceremony in real life due to the pandemic, I still felt very happy that I had accomplished this milestone in my life. I felt relief, and also pride and accomplishment. I felt joy because I realized that I was mentally stronger than I had thought, and I also felt joy because I was another step closer to achieving my dream job and starting the life I wanted to live.","I felt ... when I graduated from university after 4 years. Although it was online and I was not able to attend a convocation ceremony in real life due to the pandemic, I still felt very ... that I had accomplished this milestone in my life. I felt relief, and also pride and accomplishment. I felt ... because I realized that I was mentally stronger than I had thought, and I also felt ... because I was another step closer to achieving my dream job and starting the life I wanted to live.",3
5208,sadness,I moved away from my friends to a new province.,I moved away from my friends to a new province.,4
5518,surprise,My boyfriend surprised me with a weekend trip to London. He isn't very romantic so it was amazing to be surprised with such an exciting trip. We went to watch a Rugby League final and had a fancy dinner.,My boyfriend ... me with a weekend trip to London. He isn't very romantic so it was amazing to be ... with such an exciting trip. We went to watch a Rugby League final and had a fancy dinner.,5
3021,joy,I felt Joy last week when a girl who I had been chatting to had invited me to hang out with her after we hadn't really talked alot over the past 2-3 days prior to that,I felt ... last week when a girl who I had been chatting to had invited me to hang out with her after we hadn't really talked alot over the past 2-3 days prior to that,3
5042,sadness,I felt rejected and not good enough by friends. I had planned on hosting my friends baby shower when she came to me and told me she would rather have it at our other friend's house and they had already started planning everything. I was really excited to host and had already done a lot on my end to begin and I felt really sad and hurt when they changed it to someone else's house.,I felt rejected and not good enough by friends. I had planned on hosting my friends baby shower when she came to me and told me she would rather have it at our other friend's house and they had already started planning everything. I was really excited to host and had already done a lot on my end to begin and I felt really ... and hurt when they changed it to someone else's house.,4
1217,disgust,"I felt disgust when I was employed by a previous employer, because I was the subject of constructive dismissal, and was also regularly verbally abused by the management, which left me feeling totally disgusted with this emaployer","I felt ... when I was employed by a previous employer, because I was the subject of constructive dismissal, and was also regularly verbally abused by the management, which left me feeling totally ... with this emaployer",1
5504,surprise,I had a call from my sister,I had a call from my sister,5
4814,sadness,my brother deferred his university place because of his mental and physical health.,my brother deferred his university place because of his mental and physical health.,4
1129,disgust,I felt disgust when my best friends boyfriend at the time starting texting our other best friend flirty text messages. I was even more disgusted when I found out that she was responding to these suggestive messages and didn't see an issue with it.,I felt ... when my best friends boyfriend at the time starting texting our other best friend flirty text messages. I was even more ... when I found out that she was responding to these suggestive messages and didn't see an issue with it.,1
2052,fear,as children my father use to take us to the coast (seaside). My sister was 8 years younger than me and every time we went i use to get myself worked up thinking that my sister would suddenly fall over the side and into the sea. I had an irrational fear of it that turned into a panic any time anyone went too close to the side. It started to invade my dreams and i'd wake up screaming.,as children my father use to take us to the coast (seaside). My sister was 8 years younger than me and every time we went i use to get myself worked up thinking that my sister would suddenly fall over the side and into the sea. I had an irrational ... of it that turned into a panic any time anyone went too close to the side. It started to invade my dreams and i'd wake up screaming.,2
1261,disgust,people blame others for their mistakes.,people blame others for their mistakes.,1
511,anger,I was undermined at work,I was undermined at work,0
5149,sadness,"I broke up with my ex, because we were together for 7 years and shared lots of memories together.","I broke up with my ex, because we were together for 7 years and shared lots of memories together.",4
4858,sadness,I felt sadness when I came out as a queer woman and had to figure out how that was going to change my marriage of 10 years to a man. I felt sadness for him and for my true life that I don't know if I'll ever get to experience the life I want because I don't want him to feel sadness.,I felt ... when I came out as a queer woman and had to figure out how that was going to change my marriage of 10 years to a man. I felt ... for him and for my true life that I don't know if I'll ever get to experience the life I want because I don't want him to feel ....,4
163,anger,When my boyfriend's boss dismissed him,When my boyfriend's boss dismissed him,0
299,anger,I was playing a sports game and my team was making really simple errors and turning on each other and i got frustrated and then angry because no one would take responsibility for their performance and we were losing by a lot of points,I was playing a sports game and my team was making really simple errors and turning on each other and i got frustrated and then ... because no one would take responsibility for their performance and we were losing by a lot of points,0
1966,fear,when I was robbed,when I was robbed,2
1330,disgust,a man called another a racial slur on the bus,a man called another a racial slur on the bus,1
2,anger,someone misunderstands me and takes it out of context,someone misunderstands me and takes it out of context,0
534,anger,"two people I was really close to in middle school, high school, and most of college, decided to cut off the friendship for reasons that weren't at all valid and it angered me that they can throw away years worth of friendship over nothing.","two people I was really close to in middle school, high school, and most of college, decided to cut off the friendship for reasons that weren't at all valid and it ... me that they can throw away years worth of friendship over nothing.",0
394,anger,I was talked down to for no reason at tennis match by one of my team,I was talked down to for no reason at tennis match by one of my team,0
5590,surprise,"I felt surprise the day my fiance asked me to marry him, it was unexpected and I didnt realize he was thinking about us in the long term","I felt ... the day my fiance asked me to marry him, it was unexpected and I didnt realize he was thinking about us in the long term",5
1963,fear,"Someone I was dating at the time was hitting me while in the car going home. This person had no concern that they might kill the both of us while doing this, beating me in the head.","Someone I was dating at the time was hitting me while in the car going home. This person had no concern that they might kill the both of us while doing this, beating me in the head.",2
2605,joy,Forest finally won a football match,Forest finally won a football match,3
1518,disgust,I had gone out for breakfast with my mum and she found a hair in her food. It put me and her off of our food and also made us not want to eat in the restaurant again.,I had gone out for breakfast with my mum and she found a hair in her food. It put me and her off of our food and also made us not want to eat in the restaurant again.,1
95,anger,my laptop was stolen last year,my laptop was stolen last year,0
2580,joy,i felt joy when my boyfriend told me he would hate to not be with me because it reassured me that he loved me,i felt ... when my boyfriend told me he would hate to not be with me because it reassured me that he loved me,3
1132,disgust,when I saw rubbish dumped on the green area of where I live,when I saw rubbish dumped on the green area of where I live,1
1358,disgust,"I felt disgust when I was cleaning an empty car yard that was temporarily going to be used for business reasons and I found a dead bird. When I flipped it over with a stick there were a lot of maggots and flies underneath, and in the moment I wanted to burn them with a flamethrower or just kill them somehow.","I felt ... when I was cleaning an empty car yard that was temporarily going to be used for business reasons and I found a dead bird. When I flipped it over with a stick there were a lot of maggots and flies underneath, and in the moment I wanted to burn them with a flamethrower or just kill them somehow.",1
5865,surprise,my workplace gave me a very generous gift of money unknowingly,my workplace gave me a very generous gift of money unknowingly,5
5847,surprise,I passed my professional work qualificaton,I passed my professional work qualificaton,5
2538,joy,I received a message from a friend about a job opportunity which we would be able to work at together,I received a message from a friend about a job opportunity which we would be able to work at together,3
1570,disgust,I witnessed huge queues outside petrol stations during a petrol shortage.,I witnessed huge queues outside petrol stations during a petrol shortage.,1
5146,sadness,I felt sadness when I found out my boyfriend was cheating on me.,I felt ... when I found out my boyfriend was cheating on me.,4
2686,joy,When I got into the course I needed,When I got into the course I needed,3
2484,joy,"I bought an oculus rift and tried it for the first time, it was a great new experience","I bought an oculus rift and tried it for the first time, it was a great new experience",3
1644,disgust,When my daughter was attacked by her peers,When my daughter was attacked by her peers,1
1888,fear,My husband got into a bad car accident,My husband got into a bad car accident,2
398,anger,I found out my husband was having an affair,I found out my husband was having an affair,0
5192,sadness,I realised I had not overcome a mental struggle when I thought I had.,I realised I had not overcome a mental struggle when I thought I had.,4
1304,disgust,I felt disgust when my brother told me he wasn't interested in doing to school anymore to complete his education. I have been paying his school fees but then he came to me and told me he is no longer interested in what he called the school life.,I felt ... when my brother told me he wasn't interested in doing to school anymore to complete his education. I have been paying his school fees but then he came to me and told me he is no longer interested in what he called the school life.,1
2889,joy,I gave a good performance in a play.,I gave a good performance in a play.,3
377,anger,I had a co-worker from another dept try to blame my manager and I for a mistake she made.,I had a co-worker from another dept try to blame my manager and I for a mistake she made.,0
2658,joy,I first met my boyfriend after nearly 3 years of a long distance relationship.,I first met my boyfriend after nearly 3 years of a long distance relationship.,3
2774,joy,when I got engaged,when I got engaged,3
5156,sadness,Moving away to a new city,Moving away to a new city,4
5692,surprise,I had a poutine last night that didn't look good but was delicious.,I had a poutine last night that didn't look good but was delicious.,5
287,anger,I lost £50 in an online sports bet last night,I lost £50 in an online sports bet last night,0
4759,sadness,When my dog died.,When my dog died.,4
2527,joy,I felt joy when I found a new waterfall on a hiking trail that I had never seen before.,I felt ... when I found a new waterfall on a hiking trail that I had never seen before.,3
5084,sadness,my favourite serial drama comes to an end,my favourite serial drama comes to an end,4
2555,joy,I went skydiving.,I went skydiving.,3
5850,surprise,I felt surprised when I found out I was pregnant after trying for a baby for several years.,I felt ... when I found out I was pregnant after trying for a baby for several years.,5
5114,sadness,Our IVF cycle failed,Our IVF cycle failed,4
4865,sadness,I discovered my fiance was cheating on me and we broke up,I discovered my fiance was cheating on me and we broke up,4
5544,surprise,i got offfered a higher role at work as a supervisor as i dont feel like i am able rto manage ans supervise others,i got offfered a higher role at work as a supervisor as i dont feel like i am able rto manage ans supervise others,5
2772,joy,When I passed my degree with honours,When I passed my degree with honours,3
215,anger,my ex-husband took me back to court over child custody.,my ex-husband took me back to court over child custody.,0
1479,disgust,I noticed I have some tartar built up on the back of my bottom teeth.,I noticed I have some tartar built up on the back of my bottom teeth.,1
5736,surprise,A surprise birthday party was planned for me for the first time by new friends Id just recently met,A surprise birthday party was planned for me for the first time by new friends Id just recently met,5
2523,joy,I bought a new car.,I bought a new car.,3
4944,sadness,I spoke with my partner about our future and he couldn't say if he loved me.,I spoke with my partner about our future and he couldn't say if he loved me.,4
5521,surprise,I felt SURPRISE when my friend kissed me.,I felt ... when my friend kissed me.,5
222,anger,My brother decided to leave me out of a family engagement.,My brother decided to leave me out of a family engagement.,0
89,anger,I feel anger when there are messes around the house.,I feel ... when there are messes around the house.,0
5730,surprise,I felt surprise when I got my undergraduate results.,I felt ... when I got my undergraduate results.,5
4872,sadness,I felt sadness when my boyfriend and I broke up.,I felt ... when my boyfriend and I broke up.,4
1350,disgust,I bought KFC burger and it was of very poor quality,I bought KFC burger and it was of very poor quality,1
5758,surprise,when I got a shiny Beldum on my 253rd encounter.,when I got a shiny Beldum on my 253rd encounter.,5
2704,joy,I felt joy whe  I toured my new apartment because it was much better than my current one.,I felt ... whe  I toured my new apartment because it was much better than my current one.,3
5602,surprise,I felt surprised when my parents bought me a car,I felt ... when my parents bought me a car,5
306,anger,got into an argument with my roommate about losing our house deposit,got into an argument with my roommate about losing our house deposit,0
5746,surprise,I was thrown a surprise leaving party,I was thrown a surprise leaving party,5
357,anger,Of a colleague who was not a team player,Of a colleague who was not a team player,0
1998,fear,I couldnt see my son at the park. I was chatting with another mum when I looked around to check where my son was. For a few moments I couldnt see him and I panicked and felt intense fear. I looked around more aggressively and eventually I saw him at the bottom of the park playing with friends. It was very stressful but only lasted a minute or two.,I couldnt see my son at the park. I was chatting with another mum when I looked around to check where my son was. For a few moments I couldnt see him and I panicked and felt intense .... I looked around more aggressively and eventually I saw him at the bottom of the park playing with friends. It was very stressful but only lasted a minute or two.,2
1684,fear,My wife has incurable cancer and has scan results every three months. I feel fear before the results.,My wife has incurable cancer and has scan results every three months. I feel ... before the results.,2
1321,disgust,I was lied to by a close friend,I was lied to by a close friend,1
2015,fear,"I felt fear when I had a car accident in Puerto Plata Dominican republic, I lived in the DR for many years. On the malecon one night about 15 years ago I was in the car with my then boyfriend and he was driving, we had been to a party and had both been drinking and I didn't put my seatbelt on. Coming round the bend in the malecon two motorcycles came speeding towards us on the wrong side of the road. One went over the top of the car and one into the windscreen, my face was torn open by the glass my entire mouth and skin up to my nose hanging open and being in country which definitely does not have the best medical care, I think it was safe to say I felt lots of fear.","I felt ... when I had a car accident in Puerto Plata Dominican republic, I lived in the DR for many years. On the malecon one night about 15 years ago I was in the car with my then boyfriend and he was driving, we had been to a party and had both been drinking and I didn't put my seatbelt on. Coming round the bend in the malecon two motorcycles came speeding towards us on the wrong side of the road. One went over the top of the car and one into the windscreen, my face was torn open by the glass my entire mouth and skin up to my nose hanging open and being in country which definitely does not have the best medical care, I think it was safe to say I felt lots of ....",2
4752,sadness,My girlfriend left,My girlfriend left,4
1830,fear,when travelling on a countryside we drove over a pool of blood in the pitch dark,when travelling on a countryside we drove over a pool of blood in the pitch dark,2
5185,sadness,my favourite mug broke,my favourite mug broke,4
5928,surprise,my optometrist told me my tear film breaks apart immediately and it should last ten seconds.,my optometrist told me my tear film breaks apart immediately and it should last ten seconds.,5
75,anger,A next door neighbour has once again started running generators and power tools.,A next door neighbour has once again started running generators and power tools.,0
1842,fear,A man followed me in a car,A man followed me in a car,2
5682,surprise,I felt surprise when my parents gave me my Christmas gift they had kept hidden ever since my cousin sent it over.,I felt ... when my parents gave me my Christmas gift they had kept hidden ever since my cousin sent it over.,5
1311,disgust,someone in my group project bailed last second. We worked all week for a project and he left me alone to present on the final day.,someone in my group project bailed last second. We worked all week for a project and he left me alone to present on the final day.,1
4879,sadness,"I felt SADNESS when my friends all decided to go out to eat after a band competition without inviting me. Some of the people going to eat were not necessarily my friends, but they were not on bad terms with me. I did not know why I wasn't invited, and it was upsetting because I felt left out and like nobody liked me. This was not a regular occurrence with my friends, either, so I didn't know what was going on.","I felt ... when my friends all decided to go out to eat after a band competition without inviting me. Some of the people going to eat were not necessarily my friends, but they were not on bad terms with me. I did not know why I wasn't invited, and it was upsetting because I felt left out and like nobody liked me. This was not a regular occurrence with my friends, either, so I didn't know what was going on.",4
4694,sadness,My daughter died,My daughter died,4
5690,surprise,"i felt surprise when i was gifted my first car by my parent on my 18th birthday, it was like a dream to me , cause i never expected it, Didnt see it coming","i felt ... when i was gifted my first car by my parent on my 18th birthday, it was like a dream to me , cause i never expected it, Didnt see it coming",5
5535,surprise,I felt surprise when I was nominated to attend a class over summer at Berkley.,I felt ... when I was nominated to attend a class over summer at Berkley.,5
